"deviceid","name","company_name"
140000,perdida,Personal MI
170073,PRUEBA,Personal MI
36792,THX109,MEALS DE COLOMBIA S.A.S.
39015,UFR963,MEALS DE COLOMBIA S.A.S.
39021,SWQ030,MEALS DE COLOMBIA S.A.S.
39035,SMP971,MEALS DE COLOMBIA S.A.S.
39036,SRL450,MEALS DE COLOMBIA S.A.S.
39037,SMK960,MEALS DE COLOMBIA S.A.S.
39043,SQK220,MEALS DE COLOMBIA S.A.S.
39058,TLN837,MEALS DE COLOMBIA S.A.S.
39065,XFA648,MEALS DE COLOMBIA S.A.S.
39066,USA868,MEALS DE COLOMBIA S.A.S.
39070,UFS045,MEALS DE COLOMBIA S.A.S.
39071,WNN831,MEALS DE COLOMBIA S.A.S.
39073,SKY952,MEALS DE COLOMBIA S.A.S.
39081,SRL637,MEALS DE COLOMBIA S.A.S.
39083,SPS318,MEALS DE COLOMBIA S.A.S.
39086,XFA671,MEALS DE COLOMBIA S.A.S.
39087,UPR376,MEALS DE COLOMBIA S.A.S.
39088,WCW433,MEALS DE COLOMBIA S.A.S.
39089,XFA650,MEALS DE COLOMBIA S.A.S.
39091,SWM680,MEALS DE COLOMBIA S.A.S.
39108,USA746,MEALS DE COLOMBIA S.A.S.
39125,WHO501,MEALS DE COLOMBIA S.A.S.
39154,UFS043,MEALS DE COLOMBIA S.A.S.
39157,WCW565,MEALS DE COLOMBIA S.A.S.
39158,WOS348,MEALS DE COLOMBIA S.A.S.
39190,SPU384,MEALS DE COLOMBIA S.A.S.
39194,TZT322,MEALS DE COLOMBIA S.A.S.
39209,SZZ931,MEALS DE COLOMBIA S.A.S.
39211,WCV433,MEALS DE COLOMBIA S.A.S.
39213,UFW514,MEALS DE COLOMBIA S.A.S.
39215,TZR498,MEALS DE COLOMBIA S.A.S.
39216,SWL626,MEALS DE COLOMBIA S.A.S.
39229,WCW448,MEALS DE COLOMBIA S.A.S.
39230,WFV866,MEALS DE COLOMBIA S.A.S.
39231,SZV753,MEALS DE COLOMBIA S.A.S.
39236,SWP229,MEALS DE COLOMBIA S.A.S.
39237,WNM907,MEALS DE COLOMBIA S.A.S.
39239,TSW611,MEALS DE COLOMBIA S.A.S.
39255,WCZ214,MEALS DE COLOMBIA S.A.S.
39257,THX009,MEALS DE COLOMBIA S.A.S.
39266,SMX930,MEALS DE COLOMBIA S.A.S.
39271,WOV063,MEALS DE COLOMBIA S.A.S.
39272,SKK970,MEALS DE COLOMBIA S.A.S.
39273,WGZ728,MEALS DE COLOMBIA S.A.S.
39286,WNO014,MEALS DE COLOMBIA S.A.S.
39289,TAM089,MEALS DE COLOMBIA S.A.S.
39293,TRL500,MEALS DE COLOMBIA S.A.S.
39374,WEP843,MEALS DE COLOMBIA S.A.S.
39425,TTZ450,MEALS DE COLOMBIA S.A.S.
39548,SYS374,MEALS DE COLOMBIA S.A.S.
160675,XFA692,MEALS DE COLOMBIA S.A.S.
160676,VDY562,MEALS DE COLOMBIA S.A.S.
160768,WGY500,MEALS DE COLOMBIA S.A.S.
160809,UFR966,MEALS DE COLOMBIA S.A.S.
161023,SKK618,MEALS DE COLOMBIA S.A.S.
161037,WFU142,MEALS DE COLOMBIA S.A.S.
161141,TAL525,MEALS DE COLOMBIA S.A.S.
161144,WOT130,MEALS DE COLOMBIA S.A.S.
180173,TSW478,MEALS DE COLOMBIA S.A.S.
180218,SXU670,MEALS DE COLOMBIA S.A.S.
180219,SPW417,MEALS DE COLOMBIA S.A.S.
180259,WGZ818,MEALS DE COLOMBIA S.A.S.
180314,WCW432,MEALS DE COLOMBIA S.A.S.
180315,UFR964,MEALS DE COLOMBIA S.A.S.
200056,OPL VILLAVICENCIO (DISTRILLANOS),MEALS DE COLOMBIA S.A.S.
200064,OPL YOPAL,MEALS DE COLOMBIA S.A.S.
200213,OPL CUCUTA,MEALS DE COLOMBIA S.A.S.
200220,OPL ARMENIA,MEALS DE COLOMBIA S.A.S.
200280,PASTO - CONGELADOS 1,MEALS DE COLOMBIA S.A.S.
200281,PASTO - CONGELADOS 2,MEALS DE COLOMBIA S.A.S.
200282,PASTO - EQUIPO REFRIGERADO,MEALS DE COLOMBIA S.A.S.
200291,PASTO - MUELLE,MEALS DE COLOMBIA S.A.S.
200352,BARRANQUILLA 1,MEALS DE COLOMBIA S.A.S.
200353,BARRANQUILLA 2,MEALS DE COLOMBIA S.A.S.
201003,CALI 1,MEALS DE COLOMBIA S.A.S.
201004,CALI 2,MEALS DE COLOMBIA S.A.S.
