deviceid,company_name,totalLocations
140000,Personal MI,512
170073,Personal MI,211
36792,MEALS DE COLOMBIA S.A.S.,532
39015,MEALS DE COLOMBIA S.A.S.,536
39021,MEALS DE COLOMBIA S.A.S.,522
39035,MEALS DE COLOMBIA S.A.S.,653
39036,MEALS DE COLOMBIA S.A.S.,626
39037,MEALS DE COLOMBIA S.A.S.,682
39043,MEALS DE COLOMBIA S.A.S.,667
39058,MEALS DE COLOMBIA S.A.S.,726
39065,MEALS DE COLOMBIA S.A.S.,522
39066,MEALS DE COLOMBIA S.A.S.,659
39070,MEALS DE COLOMBIA S.A.S.,512
39071,MEALS DE COLOMBIA S.A.S.,595
39073,MEALS DE COLOMBIA S.A.S.,518
39081,MEALS DE COLOMBIA S.A.S.,491
39083,MEALS DE COLOMBIA S.A.S.,480
39086,MEALS DE COLOMBIA S.A.S.,666
39087,MEALS DE COLOMBIA S.A.S.,576
39088,MEALS DE COLOMBIA S.A.S.,595
39089,MEALS DE COLOMBIA S.A.S.,570
39091,MEALS DE COLOMBIA S.A.S.,618
39108,MEALS DE COLOMBIA S.A.S.,630
39125,MEALS DE COLOMBIA S.A.S.,590
39154,MEALS DE COLOMBIA S.A.S.,609
39157,MEALS DE COLOMBIA S.A.S.,510
39158,MEALS DE COLOMBIA S.A.S.,572
39190,MEALS DE COLOMBIA S.A.S.,512
39194,MEALS DE COLOMBIA S.A.S.,731
39209,MEALS DE COLOMBIA S.A.S.,781
39211,MEALS DE COLOMBIA S.A.S.,768
39213,MEALS DE COLOMBIA S.A.S.,608
39215,MEALS DE COLOMBIA S.A.S.,594
39216,MEALS DE COLOMBIA S.A.S.,621
39229,MEALS DE COLOMBIA S.A.S.,609
39230,MEALS DE COLOMBIA S.A.S.,686
39231,MEALS DE COLOMBIA S.A.S.,751
39236,MEALS DE COLOMBIA S.A.S.,724
39237,MEALS DE COLOMBIA S.A.S.,652
39239,MEALS DE COLOMBIA S.A.S.,846
39255,MEALS DE COLOMBIA S.A.S.,690
39257,MEALS DE COLOMBIA S.A.S.,552
39266,MEALS DE COLOMBIA S.A.S.,787
39271,MEALS DE COLOMBIA S.A.S.,605
39272,MEALS DE COLOMBIA S.A.S.,546
39273,MEALS DE COLOMBIA S.A.S.,646
39286,MEALS DE COLOMBIA S.A.S.,668
39289,MEALS DE COLOMBIA S.A.S.,338
39293,MEALS DE COLOMBIA S.A.S.,623
39374,MEALS DE COLOMBIA S.A.S.,726
39425,MEALS DE COLOMBIA S.A.S.,670
39548,MEALS DE COLOMBIA S.A.S.,717
160675,MEALS DE COLOMBIA S.A.S.,531
160676,MEALS DE COLOMBIA S.A.S.,289
160768,MEALS DE COLOMBIA S.A.S.,534
160809,MEALS DE COLOMBIA S.A.S.,459
161023,MEALS DE COLOMBIA S.A.S.,545
161037,MEALS DE COLOMBIA S.A.S.,416
161141,MEALS DE COLOMBIA S.A.S.,602
161144,MEALS DE COLOMBIA S.A.S.,456
180173,MEALS DE COLOMBIA S.A.S.,535
180218,MEALS DE COLOMBIA S.A.S.,604
180219,MEALS DE COLOMBIA S.A.S.,553
180259,MEALS DE COLOMBIA S.A.S.,585
180314,MEALS DE COLOMBIA S.A.S.,677
180315,MEALS DE COLOMBIA S.A.S.,474
200056,MEALS DE COLOMBIA S.A.S.,358
200064,MEALS DE COLOMBIA S.A.S.,471
200213,MEALS DE COLOMBIA S.A.S.,339
200220,MEALS DE COLOMBIA S.A.S.,435
200280,MEALS DE COLOMBIA S.A.S.,419
200281,MEALS DE COLOMBIA S.A.S.,451
200282,MEALS DE COLOMBIA S.A.S.,436
200291,MEALS DE COLOMBIA S.A.S.,801
200352,MEALS DE COLOMBIA S.A.S.,343
200353,MEALS DE COLOMBIA S.A.S.,448
201003,MEALS DE COLOMBIA S.A.S.,3000
201004,MEALS DE COLOMBIA S.A.S.,576
201025,MEALS DE COLOMBIA S.A.S.,795
201033,MEALS DE COLOMBIA S.A.S.,509
201058,MEALS DE COLOMBIA S.A.S.,409
201059,MEALS DE COLOMBIA S.A.S.,291
201081,MEALS DE COLOMBIA S.A.S.,397
201085,MEALS DE COLOMBIA S.A.S.,849
201140,MEALS DE COLOMBIA S.A.S.,362
201141,MEALS DE COLOMBIA S.A.S.,307
